netid,slug,score
hali53,contest,300
nishkdp2,contest,200
adelias2,contest,300
jacobak3,contest,200
akuma29,contest,700
dylanad2,contest,700
vismays2,contest,300
rohitmb2,contest,600
anupamd2,contest,300
nuoxing2,contest,500
sgandhi,contest,400
cychen6,contest,400
rrfang2,contest,400
sawanoi2,contest,1000
dylanad2,contest,1100
