"netId","uin","shortcode","totalClasses","comment"
"N/A","659096180","9096180",29,"Attended 29 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/16: 10/18: 10/21: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/13: 11/15: 11/18: 11/20: 12/04: 12/09"
"N/A","660712183","0712183",4,"Attended 4 lectures on dates: 08/26: 08/28: 09/04: 09/06"
"N/A","660787348","0787348",36,"Attended 36 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/13: 11/15: 11/18: 11/20: 12/02: 12/04: 12/09"
"N/A","661759016","1759016",16,"Attended 16 lectures on dates: 08/26: 08/28: 08/30: 09/09: 09/11: 09/30: 10/02: 10/11: 10/23: 11/06: 11/11: 11/13: 11/18: 11/20: 12/04: 12/09"
"N/A","662994070","2994070",19,"Attended 19 lectures on dates: 09/23: 09/27: 09/30: 10/02: 10/04: 10/07: 10/14: 10/18: 10/21: 10/23: 11/01: 11/04: 11/06: 11/08: 11/11: 11/15: 11/18: 11/20: 12/04"
"N/A","663130396","3130396",33,"Attended 33 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/06: 11/08: 11/11: 11/15: 12/02: 12/04: 12/09"
"N/A","663353092","3353092",1,"Attended 1 lectures on dates: 08/26"
"N/A","663921510","3921510",29,"Attended 29 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/30: 10/02: 10/04: 10/07: 10/09: 10/11: 10/14: 10/16: 10/18: 10/21: 10/23: 10/28: 10/30: 11/06: 11/08: 11/15: 11/18: 11/20: 12/02: 12/09"
"N/A","664898839","4898839",9,"Attended 9 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/23: 09/25: 09/27"
"N/A","665000313","5000313",27,"Attended 27 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/23: 09/27: 09/30: 10/04: 10/07: 10/09: 10/11: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/01: 11/04: 11/06: 11/11: 11/13: 11/15: 11/18: 12/09"
"N/A","665301876","5301876",2,"Attended 2 lectures on dates: 09/04: 09/06"
"N/A","665429132","5429132",3,"Attended 3 lectures on dates: 08/28: 08/30: 09/04"
"N/A","665929994","5929994",6,"Attended 6 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09"
"N/A","667429539","7429539",1,"Attended 1 lectures on dates: 08/26"
"N/A","668024151","8024151",24,"Attended 24 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/09: 09/23: 09/25: 09/27: 09/30: 10/04: 10/09: 10/11: 10/14: 10/21: 10/23: 10/25: 10/28: 10/30: 11/04: 11/08: 11/11: 11/18: 11/20"
"N/A","668031185","8031185",29,"Attended 29 lectures on dates: 09/04: 09/06: 09/09: 09/11: 09/23: 09/25: 09/27: 09/30: 10/02: 10/04: 10/07: 10/11: 10/14: 10/18: 10/21: 10/23: 10/28: 10/30: 11/01: 11/06: 11/08: 11/11: 11/13: 11/15: 11/18: 11/20: 12/02: 12/04: 12/09"
"N/A","668196659","8196659",2,"Attended 2 lectures on dates: 08/28: 08/30"
"N/A","668352861","8352861",26,"Attended 26 lectures on dates: 08/26: 08/28: 08/30: 09/04: 09/06: 09/11: 09/23: 09/25: 09/30: 10/02: 10/04: 10/09: 10/11: 10/14: 10/16: 10/21: 10/25: 10/30: 11/01: 11/04: 11/08: 11/11: 11/15: 11/20: 12/04: 12/09"
"N/A","668440633","8440633",23,"Attended 23 lectures on dates: 09/09: 09/11: 09/23: 09/25: 10/02: 10/07: 10/09: 10/11: 10/16: 10/18: 10/21: 10/23: 10/25: 10/28: 10/30: 11/06: 11/08: 11/11: 11/13: 11/15: 11/18: 11/20: 12/02"
"N/A","668566983","8566983",9,"Attended 9 lectures on dates: 08/28: 08/30: 09/04: 09/06: 09/09: 09/23: 09/27: 10/09: 10/11"
